id,tokens,slots,intent
train-03337,il me faudrait trois chambres pour euh six personnes s' il vous plaît,O O O nombre-chambre-B nombre-chambre-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I sejour-nbPersonne-I O O O O,
train-03338,alors il me faudra un petit peu plus de de renseignements je cherche un hôtel quand même de bon standing euh avec un restaurant que les gens puissent se restaurer directement euh ou à l' hôtel ou à côté de l' hôtel et il m donc les chambres ne doivent pas dépasser le deux cents euros,O O O O command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O O objetBD-B objetBD-I O O chambre-standing-B chambre-standing-I chambre-standing-I O hotel-services-B hotel-services-I hotel-services-I hotel-services-I hotel-services-I hotel-services-I hotel-services-I hotel-services-I hotel-services-I hotel-services-I O connectAttr-B objetBD-B objetBD-I objetBD-I connectAttr-B localisation-distanceRelative-B localisation-distanceRelative-I localisation-distanceRelative-I objetBD-B objetBD-I connectProp-B O O O objet-B objet-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I comparatif-paiement-I O paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-03339,non non non non je vais réserver dés maintenant ça me parait très très très bien,reponse-B reponse-I reponse-I reponse-I command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I reponse-B reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I,
train-03340,euh plutôt dans un autre hôtel parce que les dates ne doivent pas bouger du six octobre au seize octobre donc dans un autre hôtel,O O O nombre-hotel-B lienRef-coDom-B objetBD-B connectProp-B connectProp-I objet-B objet-I command-dial-B command-dial-I command-dial-I command-dial-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I connectProp-B O objetBD-B objetBD-I objetBD-I,
train-03341,oui je vais réserver cet hôtel,reponse-B command-tache-B command-tache-I command-tache-I lienRef-coRef-B objetBD-B,
train-03342,oui je confirme donc pour euh les les dix nuits du six octobre au seize octobre pour cet hôtel,reponse-B command-dial-B command-dial-I connectProp-B sejour-nbNuit-B sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I O lienRef-coRef-B objetBD-B,
train-03343,d'accord,reponse-B,
train-03344,non non c' est parfait je vous remercie,reponse-B reponse-I O O O O O O,
train-03345,au revoir,O O,
train-03346,je souhaite je souhaite euh réserver donc euh trois jours de de vacances de trois jours dans dans un hôtel pendant les vacances de Noël à la fois à Brest et Lyon,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O O sejour-nbNuit-B sejour-nbNuit-I O O O O sejour-nbNuit-B sejour-nbNuit-I objetBD-B objetBD-I objetBD-I objetBD-I temps-axeTps-B temps-jourFerie-B temps-jourFerie-I temps-jourFerie-I temps-jourFerie-I localisation-ville-B localisation-ville-I localisation-ville-I localisation-ville-I localisation-ville-I localisation-ville-B localisation-ville-I,
train-03347,je désire euh réserver trois chambres donc pour trois couples cela fait six six adultes avec un maximum de soixante quinze euros par chambre,command-tache-B command-tache-I command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I connectProp-B sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I connectProp-B connectProp-I sejour-nbAdulte-B sejour-nbAdulte-I sejour-nbAdulte-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B O O,
train-03348,hun je veux un petit peu plus de détails notamment sur euh sur le le prix des chambres s' il vous plaît,O command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O O O O lienRef-coRef-B lienRef-coRef-I objet-B lienRef-coRef-B objet-B O O O O,
train-03349,non je ne souhaite pas retenir dans cet hôtel je préfère l' hôtel de Laval s' il vous plaît,reponse-B command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I O lienRef-coRef-B objetBD-B O O objetBD-B objetBD-I localisation-ville-B localisation-ville-I O O O O,
train-03350,cet hôtel est un petit peu cher pour moi en fait puisque je vous dit je vous ai expliqué que je recherchais euh trois chambres pour six personnes donc pour trois couples entre Brest et Lyon euh donc auriez-vous autre chose à me proposer avec un maximum de soixante quinze euros par personne,lienRef-coRef-B objetBD-B O paiement-montantQualitatif-B paiement-montantQualitatif-I paiement-montantQualitatif-I paiement-montantQualitatif-I O O O O connectProp-B O O O O O O O O O O O nombre-chambre-B nombre-chambre-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I connectProp-B sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I O connectProp-B command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B O O,
train-03351,non ben écoutez je vais réserver ces je je vais réserver ces à Lyon pour l' Ibis,reponse-B O O command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O localisation-ville-B localisation-ville-I hotel-marque-B hotel-marque-I hotel-marque-I,
train-03352,oui je confirme ma réservation,reponse-B command-dial-B command-dial-I command-tache-B command-tache-I,
train-03353,non non c' est c' est c' est parfait,reponse-B reponse-I O O O O O O O,
train-03354,au revoir,O O,
train-03355,bonjour,O,
train-03356,je voudrais réserver pour la première semaine de mai dans Paris au sud de Paris,command-tache-B command-tache-I command-tache-I temps-axeTps-B temps-axeTps-I temps-axeTps-I temps-unite-B temps-mois-B temps-mois-I localisation-ville-B localisation-ville-I localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-ville-B,
train-03357,non à Paris au sud de Paris,reponse-B localisation-ville-B localisation-ville-I localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-ville-B,
train-03358,oui,reponse-B,
train-03359,trois chambres individuelles au Formule Un,nombre-chambre-B chambre-type-B chambre-type-I hotel-marque-B hotel-marque-I hotel-marque-I,
train-03360,oui,reponse-B,
train-03361,à Paris,localisation-ville-B localisation-ville-I,
train-03362,sud de Paris,localisation-cardinal-B localisation-cardinal-I localisation-ville-B,
train-03363,sud de Paris,localisation-cardinal-B localisation-cardinal-I localisation-ville-B,
train-03364,oui,reponse-B,
train-03365,oui,reponse-B,
train-03366,euh c' est au sud de Paris hein en,O O O localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-ville-B O O,
train-03367,Formule Un,hotel-marque-B hotel-marque-I,
train-03368,oui,reponse-B,
train-03369,et ben Formule Un,O O hotel-marque-B hotel-marque-I,
train-03370,oui euh,reponse-B O,
train-03371,oui,reponse-B,
train-03372,euh l' endroit euh est-ce qu' on peut sortir le soir,O objet-B objet-I O localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I temps-plageTps-B temps-plageTps-I,
train-03373,ah ben non alors je j' aurais voulu euh donc Formule Un mais près d' un endroit où l' on peut sortir le soir et puis un restaurant de cuisine locale,O O reponse-B O O O O O O O hotel-marque-B hotel-marque-I O localisation-distanceRelative-B localisation-distanceRelative-I localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I temps-plageTps-B temps-plageTps-I connectProp-B connectProp-I localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I,
train-03374,oui oui,reponse-B reponse-I,
train-03375,les Formule Un vous avez pas,hotel-marque-B hotel-marque-I hotel-marque-I O O O,
train-03376,bon ben alors je prends celui-là alors,O O O O O lienRef-elsEns-B O,
train-03377,oui et le prix est de,reponse-B connectProp-B lienRef-coRef-B objet-B O O,
train-03378,oui,reponse-B,
train-03379,et eh est-ce que est-ce qu' on peut sortir le soir,O O localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I temps-plageTps-B temps-plageTps-I,
train-03380,euh est-ce qu' il y a un restaurant de cuisine euh locale dans les environs,O localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-distanceRelative-B localisation-distanceRelative-I localisation-distanceRelative-I,
train-03381,bon et ben donc c' est très bien alors,O O O O O O O O O,
train-03382,je confirme tout à fait,command-dial-B command-dial-I reponse-B reponse-I reponse-I,
train-03383,oui,reponse-B,
train-03384,tout à fait,reponse-B reponse-I reponse-I,
train-03385,d'accord,reponse-B,
train-03386,d'accord,reponse-B,
train-03387,non c' est tout,reponse-B O O O,
train-03388,merci au revoir,O O O,
train-03389,non,reponse-B,
train-03390,je voudrais louer réserver finalement une chambre pour un couple et deux enfants euh la semaine du dix huit au douze dix non du treize treize pardon treize au dix huit décembre alors le quinze il me faudrait deux nuits à Dole la ville de Dole du quinze au dix sept décembre deux nuits à Montbéliard et le dix sept et dix huit m décembre une nuit à Mulhouse,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I O temps-unite-B temps-unite-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I O temps-date-B temps-date-I temps-date-I temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I O temps-jour-mois-B temps-jour-mois-I O O O sejour-nbNuit-B sejour-nbNuit-I localisation-ville-B localisation-ville-I localisation-ville-I localisation-ville-I localisation-ville-I localisation-ville-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I sejour-nbNuit-B sejour-nbNuit-I localisation-ville-B localisation-ville-I connectProp-B temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I temps-date-I sejour-nbNuit-B sejour-nbNuit-I localisation-ville-B localisation-ville-I,
train-03391,oui,reponse-B,
train-03392,ah je voudrais connaître le prix de la chambre,O O O O lienRef-coRef-B objet-B O lienRef-coRef-B objet-B,
train-03393,oh bon standing euh correcte,O chambre-standing-B chambre-standing-I O O,
train-03394,un couple deux adultes et deux enfants,sejour-nbCouple-B sejour-nbCouple-I sejour-nbAdulte-B sejour-nbAdulte-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I,
train-03395,oui,reponse-B,
train-03396,oui ça ira,reponse-B O O,
train-03397,oui oui oui s' il vous plaît,reponse-B reponse-I reponse-I O O O O,
train-03398,ah ben oui oui,O O reponse-B reponse-I,
train-03399,oui à ce moment-là je réserverai malgré le le prix oui oui,reponse-B O O O command-tache-B command-tache-I O lienRef-coRef-B lienRef-coRef-I objet-B reponse-B reponse-I,
train-03400,huhum,O,
train-03401,d'accord,reponse-B,
train-03402,donc euh je poursuis avec deux nuits le quinze seize dix sept à Montbéliard,O O O O O sejour-nbNuit-B sejour-nbNuit-I temps-jour-mois-B temps-jour-mois-I temps-jour-mois-B temps-jour-mois-B temps-jour-mois-I localisation-ville-B localisation-ville-I,
train-03403,oui ça ira très bien ça me convient,reponse-B reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I,
train-03404,oui s' il vous plaît oui oui,reponse-B O O O O reponse-B reponse-I,
train-03405,oui je voudrais connaître euh la même chose le dix sept dix huit le prix à Mulhouse à ce moment-là pareil pour un couple et deux enfants,reponse-B O O O O objet-B objet-I objet-I temps-jour-mois-B temps-jour-mois-I temps-jour-mois-I temps-jour-mois-B temps-jour-mois-I objet-B objet-I localisation-ville-B localisation-ville-I O O O O sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I,
train-03406,oui,reponse-B,
train-03407,oui,reponse-B,
train-03408,euh oui dans le premier s' il vous plaît,O reponse-B O lienRef-elsEns-B rang-B O O O O,
train-03409,d'accord,reponse-B,
train-03410,oui s' il vous plaît,reponse-B O O O O,
train-03411,d'accord,reponse-B,
train-03412,non ça ira très bien merci beaucoup merci,reponse-B O O O O O O O,
train-03413,je j,O O,
train-03414,vous en prie au revoir madame,O O O O O O,
train-03415,non,reponse-B,
train-03416,euh j' aurais souhaité réserver deux chambres individuelles voisines euh pour le dernier week-end de septembre entre Menton et Saint-Nazaire et à moins de quatre vingts euros la chambre,O command-tache-B command-tache-I command-tache-I command-tache-I nombre-chambre-B chambre-type-B chambre-type-I chambre-voisine-B O temps-axeTps-B temps-axeTps-I temps-axeTps-I temps-unite-B temps-mois-B temps-mois-I localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I connectProp-B comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B O O,
train-03417,euh oui j' aurais souhaité connaître le prix des chambres,O reponse-B O O O O lienRef-coRef-B objet-B lienRef-coRef-B objet-B,
train-03418,euh deux chambres individuelles voisines,O nombre-chambre-B chambre-type-B chambre-type-I chambre-voisine-B,
train-03419,euh je souhaite réserver donc euh à l' hôtel de la cloche à Menton et deux chambres individuelles qui soient voisines,O command-tache-B command-tache-I command-tache-I O O nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I nom-hotel-I nom-hotel-I localisation-ville-B localisation-ville-I connectProp-B nombre-chambre-B chambre-type-B chambre-type-I O O chambre-voisine-B,
train-03420,euh oui euh un hôtel euh qui est à moins de quatre vingts euros la chambre,O reponse-B O objetBD-B objetBD-I O O O comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B O O,
train-03421,oui,reponse-B,
train-03422,hein oui,O reponse-B,
train-03423,oui,reponse-B,
train-03424,non,reponse-B,
train-03425,au revoir,O O,
train-03426,non oui,reponse-B reponse-I,
train-03427,je recherche deux chambres individuelles qu' elles soient voisines pour le dernier week-end de septembre entre Menton et Saint-Nazaire pour un prix maximum de quatre vingts euros,O O nombre-chambre-B chambre-type-B chambre-type-I O O O chambre-voisine-B temps-axeTps-B temps-axeTps-I temps-axeTps-I temps-unite-B temps-mois-B temps-mois-I localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I objet-B objet-I objet-I comparatif-paiement-B comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-03428,Aix-En-Provence,localisation-ville-B,
train-03429,oui,reponse-B,
train-03430,oui,reponse-B,
train-03431,deux chambres,nombre-chambre-B nombre-chambre-I,
train-03432,individuelles,chambre-type-B,
train-03433,deux chambres individuelles,nombre-chambre-B chambre-type-B chambre-type-I,
train-03434,merci,O,
train-03435,non,reponse-B,
train-03436,je voudrais réserver une chambre pour un couple avec deux enfants euh pour la semaine du treize au quinze décembre à Dole du quinze au dix sept décembre à Montbéliard du dix sept au dix huit décembre à Mulhouse,command-tache-B command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I O temps-unite-B temps-unite-I temps-unite-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-ville-B localisation-ville-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-ville-B localisation-ville-I,
train-03437,je voudrais des informations je cherche un hôtel bon standing maximum cent euros,command-tache-B command-tache-I command-tache-I command-tache-I O O objetBD-B objetBD-I chambre-standing-B chambre-standing-I comparatif-paiement-B paiement-montant-entier-B paiement-monnaie-B,
train-03438,une chambre,nombre-chambre-B nombre-chambre-I,
train-03439,deux adultes avec deux enfants,sejour-nbAdulte-B sejour-nbAdulte-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I,
train-03440,au confort,O O,
train-03441,je vais dans l' autre hôtel alors,O O O lienRef-coDom-B lienRef-coDom-I objetBD-B O,
train-03442,oui,reponse-B,
train-03443,oui je voudrais réserver une chambre pour les mêmes critères du quinze au dix sept décembre à Montbéliard ainsi que du dix sept au dix huit décembre à Mulhouse,reponse-B command-tache-B command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I O lienRef-coRef-B lienRef-coRef-I objet-B temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-ville-B localisation-ville-I connectProp-B connectProp-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-ville-B localisation-ville-I,
train-03444,oui,reponse-B,
train-03445,oui,reponse-B,
train-03446,je voudrais réserver une chambre d' hôtel du dix sept au dix huit dé dix sept au dix huit décembre à Mulhouse sur les mêmes critères,command-tache-B command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I nombre-chambre-I nombre-chambre-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I O temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-ville-B localisation-ville-I O lienRef-coRef-B lienRef-coRef-I objet-B,
train-03447,l' hôtel à cent trente euros,lienRef-coRef-B objetBD-B O paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-03448,oui,reponse-B,
train-03449,non,reponse-B,
train-03450,au revoir,O O,
train-03451,non,reponse-B,
train-03452,réserver,command-tache-B,
train-03453,entre Menton et Saint-Nazaire,localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I,
train-03454,dernier week-end de septembre,temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I,
train-03455,deux singles,nombre-chambre-B chambre-type-B,
train-03456,informations supplémentaires,command-tache-B command-tache-I,
train-03457,les prix,lienRef-coRef-B objet-B,
train-03458,réserver,command-tache-B,
train-03459,prévoyance,O,
train-03460,oui,reponse-B,
train-03461,la cloche,O O,
train-03462,oui,reponse-B,
train-03463,non,reponse-B,
train-03464,non,reponse-B,
train-03465,euh je veux une réservation pour une chambre pour un couple plus un enfant soit à Saint-Dizier soit à Chambéry pour la deuxième semaine de septembre à moins de cent euros la chambre,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I nombre-chambre-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I connectAttr-B localisation-ville-B localisation-ville-I connectAttr-B localisation-ville-B localisation-ville-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-monnaie-B O O,
train-03466,euh si c' est moins moins de cent euros la chambre pour une chambre euh avec un couple pour un couple plus un enfant pour la deuxième semaine de septembre à Saint-Dizier ça me convient,O connectProp-B O O comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-monnaie-B O O nombre-chambre-B nombre-chambre-I nombre-chambre-I O sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbCouple-I sejour-nbCouple-I sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I O localisation-ville-B reponse-B reponse-I reponse-I,
train-03467,pour la deuxième semaine de septembre,rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I,
train-03468,oui alors ça c' est,reponse-B O O O O,
train-03469,bon alors ça c' est bon à Saint-Dizier ok,O O O O O O localisation-ville-B localisation-ville-I reponse-B,
train-03470,d'accord,reponse-B,
train-03471,et alors à Chambéry celui que vous m' avez dit vous pouvez vérifier,O O localisation-ville-B localisation-ville-I lienRef-elsEns-B O O O O O command-dial-B command-dial-I command-dial-I,
train-03472,merci,O,
train-03473,ok alors je fais une réservation pour la deuxième semaine de septembre la Campelonne à Chambéry,reponse-B O command-tache-B command-tache-I command-tache-I command-tache-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I nom-hotel-B nom-hotel-I localisation-ville-B localisation-ville-I,
train-03474,merci,O,
train-03475,cent quatre vingt quatre cent seize,nombre-B nombre-I nombre-I nombre-I nombre-I nombre-I,
train-03476,d'accord,reponse-B,
train-03477,c' est cent quatre vingt quatre cent seize allô,O O nombre-B nombre-I nombre-I nombre-I nombre-I nombre-I O,
train-03478,euh non c' est suffisant merci,O reponse-B O O O O,
train-03479,au revoir,O O,
train-03480,non,reponse-B,
train-03481,euh je veux pour la quatrième semaine d' octobre à Avignon une chambre double deux chambres doubles plus une chambre simple avec un parking et près d' un restaurant à moins de cent dix euros,O O O O rang-temps-B rang-temps-I temps-unite-B temps-mois-B temps-mois-I localisation-ville-B localisation-ville-I nombre-chambre-B chambre-type-B chambre-type-I nombre-chambre-B chambre-type-B chambre-type-I connectProp-B nombre-chambre-B chambre-type-B chambre-type-I objet-B objet-I objet-I connectProp-B localisation-distanceRelative-B localisation-distanceRelative-I localisation-lieuRelatif-B localisation-lieuRelatif-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-03482,merci,O,
train-03483,oui,reponse-B,
train-03484,oui,reponse-B,
train-03485,euh je veux des informations sur le les prix est-ce que vous avez de disponible pour la quatrième semaine d d' octobre,O command-tache-B command-tache-I command-tache-I command-tache-I O lienRef-coRef-B lienRef-coRef-I objet-B O O O O O objet-B rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I temps-mois-I,
train-03486,oui,reponse-B,
train-03487,et la chambre,O lienRef-coRef-B objet-B,
train-03488,simple parce que j' ai aussi une chambre simple deux chambres doubles et une chambre simple,O connectProp-B connectProp-I O O O nombre-chambre-B chambre-type-B chambre-type-I nombre-chambre-B chambre-type-B chambre-type-I connectProp-B nombre-chambre-B chambre-type-B chambre-type-I,
train-03489,et à l' hôtel des arts la chambre double est à combien,O nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I nom-hotel-I lienRef-coRef-B chambre-type-B chambre-type-I O O objet-B,
train-03490,bon alors je prends deux chambres doubles à l' hôtel des arts et une chambre simple,O O command-tache-B command-tache-I nombre-chambre-B chambre-type-B chambre-type-I nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I nom-hotel-I connectProp-B nombre-chambre-B chambre-type-B chambre-type-I,
train-03491,oui il y a un parking,reponse-B O O O objet-B objet-I,
train-03492,oui,reponse-B,
train-03493,oui,reponse-B,
train-03494,et bien c' est bon alors,reponse-B reponse-I reponse-I reponse-I reponse-I reponse-I,
train-03495,l' hôtel des arts,nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I,
train-03496,c' est ça,O O O,
train-03497,cent trente sept,nombre-B nombre-I nombre-I,
train-03498,oui,reponse-B,
train-03499,non c' est tout merci,reponse-B O O O O,
train-03500,au revoir,O O,
train-03501,d'accord merci,reponse-B O,
train-03502,non,reponse-B,
train-03503,une réservation,command-tache-B command-tache-I,
train-03504,alors je voudrais réserver entre Vannes et Dijon pour le deuxième week-end de février une chambre pour une personne pas trop chère,O command-tache-B command-tache-I command-tache-I localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I nombre-chambre-B nombre-chambre-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I paiement-montantQualitatif-B paiement-montantQualitatif-I paiement-montantQualitatif-I,
train-03505,je voudrais réserver entre Vannes et Dijon pour le deuxième week-end de février une chambre pour une personne pas trop chère,command-tache-B command-tache-I command-tache-I localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I nombre-chambre-B nombre-chambre-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I paiement-montantQualitatif-B paiement-montantQualitatif-I paiement-montantQualitatif-I,
train-03506,le Mans,localisation-ville-B localisation-ville-I,
train-03507,non,reponse-B,
train-03508,oui,reponse-B,
train-03509,réserver hôtel princesse,command-tache-B nom-hotel-B nom-hotel-I,
train-03510,oui,reponse-B,
train-03511,entre Vannes et Dijon,localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I,
train-03512,oui,reponse-B,
train-03513,oui,reponse-B,
train-03514,oui,reponse-B,
train-03515,non,reponse-B,
train-03516,oui,reponse-B,
train-03517,euh je voudrais une chambre à Paris pour la deuxième semaine d' août une chambre double pour une personne avec un parking,O O O nombre-chambre-B nombre-chambre-I localisation-ville-B localisation-ville-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I nombre-chambre-B chambre-type-B chambre-type-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I objet-B objet-I objet-I,
train-03518,je voudrais une chambre double pour une personne pour la deuxième semaine d' août à Paris,O O nombre-chambre-B chambre-type-B chambre-type-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I localisation-ville-B localisation-ville-I,
train-03519,plus d' informations,command-tache-B command-tache-I command-tache-I,
train-03520,savoir le prix,O lienRef-coRef-B objet-B,
train-03521,une chambre double pour une personne,nombre-chambre-B chambre-type-B chambre-type-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I,
train-03522,pour une personne,sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I,
train-03523,euh plus d' informations,O command-tache-B command-tache-I command-tache-I,
train-03524,s je désire une chambre double pour une personne,O O O nombre-chambre-B chambre-type-B chambre-type-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I,
train-03525,au Formule Un,hotel-marque-B hotel-marque-I hotel-marque-I,
train-03526,oui,reponse-B,
train-03527,oui,reponse-B,
train-03528,euh vous m' avez dit que pour une euh pour une nuit le c' était combien s' il vous plaît,O O O O O O sejour-nbNuit-B sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I O O O objet-B O O O O,
train-03529,oui donc pour pour une nuit c' est soixante dix euros,reponse-B connectProp-B sejour-nbNuit-B sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I O O paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-03530,huhum,O,
train-03531,donc le total,O lienRef-coRef-B objet-B,
train-03532,pourquoi quatre cent quatre vingt dix euros puisque je reste qu' une nuit,O paiement-montant-entier-B paiement-montant-entier-I paiement-montant-entier-I paiement-montant-entier-I paiement-montant-entier-I paiement-monnaie-B connectProp-B O O O sejour-nbNuit-B sejour-nbNuit-I,
train-03533,merci,O,
train-03534,non,reponse-B,
train-03535,merci au revoir,O O O,
train-03536,oui,reponse-B,
train-03537,pour réserver une chambre,command-tache-B command-tache-I nombre-chambre-B nombre-chambre-I,
train-03538,entre Vannes et Dijon le deuxième week-end de février une chambre pour une personne,localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I rang-temps-B rang-temps-I temps-unite-B temps-mois-B temps-mois-I nombre-chambre-B nombre-chambre-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I,
train-03539,oui,reponse-B,
train-03540,je désire plus d' informations,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I,
